"ogc_fid","identifier","far_idx","cov_idx","align_idx","wall_idx","comp_idx","net_idx","age_idx","count11","k8cls","k8cls_sm3","k8cls_sm6","k8cls_sm9","wkb_geometry"
6654,"8a390ca26017fff",2.16885975353339,0.31077596987334,0.0160821168350992,0.0534440012439201,1.18628436837147,0.0224140449262462,90.0,7.0,6,6,6,6,"MULTIPOLYGON (((442790.04991739534 4475045.126571716, 442779.52905955666 4474967.169610533, 442709.49498315493 4474939.176023179, 442650.06758688006 4474989.139210699, 442660.6745994266 4475067.0953576425, 442730.6228540942 4475095.089131981, 442790.04991739534 4475045.126571716)))"
6655,"8a390ca26067fff",3.27949368298888,0.531073978094406,0.0227324025794838,0.172585601861967,1.31232806962887,0.0189597028953653,66.0,7.0,6,6,6,6,"MULTIPOLYGON (((443161.32515279966 4475340.797010125, 443150.7236732479 4475262.840180138, 443080.6937796983 4475234.843155042, 443021.26635782415 4475284.803421111, 443031.8691618749 4475362.760084334, 443101.89806329645 4475390.756648251, 443161.32515279966 4475340.797010125)))"
6656,"8a390ca26167fff",3.56734105238983,0.55368185467419,0.0244561437380768,0.139017244304906,1.01368547969059,0.018112913471866,90.0,7.0,6,6,6,6,"MULTIPOLYGON (((442934.22507722944 4475618.595025569, 442923.6215482905 4475540.638462651, 442853.59333666 4475512.643565671, 442794.17049345095 4475562.716692512, 442804.77449963836 4475640.562088973, 442874.80171911325 4475668.556524754, 442934.22507722944 4475618.595025569)))"
6657,"8a390ca26177fff",3.53715972757308,0.556841307437577,0.0104967245379314,0.176631634803321,1.05521163363003,0.00772450157244514,87.0,7.0,6,6,6,6,"MULTIPOLYGON (((442853.59333666 4475512.643565671, 442843.07451804733 4475434.797472083, 442773.0450132778 4475406.803318857, 442713.62099064136 4475456.766073274, 442724.22680521006 4475534.722352969, 442794.17049345095 4475562.716692512, 442853.59333666 4475512.643565671)))"
6658,"8a390ca261affff",2.16081048395277,0.306299760212052,0.0170139508588861,0.118734257708407,1.06641008683772,0.0191042786383319,90.0,6.0,6,6,6,6,"MULTIPOLYGON (((442611.85593273153 4475195.0150530115, 442601.24855767656 4475117.058956215, 442531.21517094615 4475089.067035778, 442471.7910032978 4475139.1426729895, 442482.39885085565 4475216.987603416, 442552.4312455456 4475244.979062645, 442611.85593273153 4475195.0150530115)))"
6659,"8a390ca268cffff",3.22952308965666,0.502346180553501,0.0178187421889801,0.141193548522088,1.03285342534454,0.0179450593384587,89.0,7.0,6,6,6,6,"MULTIPOLYGON (((442885.40561052714 4475746.51303752, 442874.80171911325 4475668.556524754, 442804.77449963836 4475640.562088973, 442745.35216374736 4475690.524627162, 442755.957379775 4475768.480973178, 442825.9836070756 4475796.474947753, 442885.40561052714 4475746.51303752)))"
6660,"8a390ca268d7fff",3.4139388430402,0.477724901913403,0.0176422898327852,0.133948148286061,1.21077860033028,0.018241257059944,85.0,7.0,6,6,6,6,"MULTIPOLYGON (((442675.32549101405 4475662.642396865, 442664.8041372077 4475584.6855184445, 442594.7753221869 4475556.69303217, 442535.3536763885 4475606.657236655, 442545.8763550329 4475684.613949808, 442615.9041782435 4475712.605974078, 442675.32549101405 4475662.642396865)))"
6661,"8a390ca268dffff",2.57562756782244,0.482618923596249,0.015450946445657,0.112509874898057,1.42559770021579,0.0141341011763492,88.0,7.0,6,6,6,6,"MULTIPOLYGON (((442804.77449963836 4475640.562088973, 442794.17049345095 4475562.716692512, 442724.22680521006 4475534.722352969, 442664.8041372077 4475584.6855184445, 442675.32549101405 4475662.642396865, 442745.35216374736 4475690.524627162, 442804.77449963836 4475640.562088973)))"
6662,"8a390ca26907fff",3.46318381845253,0.597470367965563,0.0206964908798812,0.173404796192099,1.03126051996949,0.0133952240567218,90.0,7.0,6,6,6,6,"MULTIPOLYGON (((442301.7465862075 4476324.221356219, 442291.13726965274 4476246.265544377, 442221.1131124074 4476218.276571596, 442161.69926393195 4476268.243871902, 442172.3099052745 4476346.199517023, 442242.3330703004 4476374.188028555, 442301.7465862075 4476324.221356219)))"
6663,"8a390ca26c4ffff",3.16174944455386,0.526508573586941,0.0171085841381396,0.145922981359631,1.17832523140759,0.024149272150975,95.0,7.0,6,6,6,6,"MULTIPOLYGON (((442433.49942100595 4475344.909183551, 442422.9751858046 4475266.952652051, 442352.9433425113 4475239.073398217, 442293.5207004902 4475289.039485874, 442304.13108700665 4475366.995199096, 442374.0771111408 4475394.874643938, 442433.49942100595 4475344.909183551)))"
